id,X,Y,mapX,mapY,dem,prec1,prec10,prec11,prec12,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,tmean1,tmean10,tmean11,tmean12,tmean2,tmean3,tmean4,tmean5,tmean6,tmean7,tmean8,tmean9
30,207,-509,50346.4547,4168397.43676,3.4011261,84.520699,23.154596,56.463791,67.337967,61.309193,61.337971,31.154596,8,3,1,2,5,91.845406,167.97186,126.15459,93.817268,111.87354,123.81727,140.35413,160.50807,181.63454,191.30855,194,190.9431
31,207,-569,50346.4547,4108397.43676,128.80064,171.4362,34.834164,104.43621,129.10365,135.33577,113.23628,57.534752,13.13263,4,2,2.8673694,9,94.066345,153.89957,118.23212,97.033203,106.16583,110.59788,124.63102,142.86409,163.26627,175.9678,177.06628,173.49832
32,206,-67,49346.4547,4610397.43676,851.00305,122.79902,47.301216,100.95029,116.79902,90.799019,86.100235,46.649071,33.649071,22,8,12.350929,20,16,111,52,19,41.649071,62,90,132,173.15128,209.35094,204,164.64906
33,207,-139,50346.4547,4538397.43676,696.43909,260.17725,89.397903,229.55017,240.55017,209.5755,212.07578,103.49937,50.847874,21.474411,7,13.47441,35.847874,44.703197,140.15228,79.152275,46.703197,62.304401,78.07666,107.67786,153.00797,196.52574,232.97482,225.60136,192.00797
34,201,-173,44346.4547,4504397.43676,148.9268,213.65359,60.078552,157.84825,178.05722,163.84825,154.84825,73.287521,41.287525,18,5,10,28,74.712479,180,113.51783,77.287521,99,116,148,195.92145,240.71248,276,266,233.92145
35,210,-248,53346.4547,4429397.43676,89.539749,104.68246,30,78.131401,83,85,73,33,18,10,2,5,13,74,178.40721,115,77,101.27525,118.72419,149.55106,194,235.27582,264,253.13141,229.08968
36,232,-296,75346.4547,4381397.43676,24.967751,110.78149,31,73.115341,81.115341,86.813744,71.813744,34.115341,15,8,1,3,10,72,176,114,74,100,118,147,190,229,251,243.1476,223.78149
37,221,-334,64346.4547,4343397.43676,12.308406,87.807167,27,65,67,70,59,24,9,6,1,2,9,70,173.19104,109,72,99,118.84579,146,191,227.19104,250,242.80896,219
38,216,-390,59346.4547,4287397.43676,128.80081,129.79825,33.915154,88.456039,97.371193,99.371193,81.915154,33.456039,9,4,1,2,9,73.915154,174.77232,114.28353,75.459114,99.427055,115.54396,142.97101,183.43013,223,248.54396,241.65779,216.54396
39,227,-448,70346.4547,4229397.43676,0,95.330017,22.454853,56.330017,71.330017,65.85038,52.454853,30.330017,8,3,1,1,6,75,175,121.87517,80,104.39553,121,144.54515,173.0903,201.45485,217.91589,216.72554,208.39552
40,252,-470,95346.4547,4207397.43676,-0.61697435,64,19,47,47,51.392944,46,22,7,3,1,2,6,72,177,117.39294,74,102,124,149.08463,182.1394,215,238,232,215
41,236,-534,79346.4547,4143397.43676,581.03583,132.36269,38.284084,99.990112,105.30645,109.78462,101.30645,51.284084,10.683657,3.9001071,2,3,9.9001074,79.199783,161.87775,110.25032,79.894409,91.610321,96.966232,117.42773,149.49376,185.71591,218.9001,215.88344,195.87775
42,225,-566,68346.4547,4111397.43676,463.15424,180.095,42.925488,126.08762,139.39738,144.39738,130.39738,64.397385,11.151196,4.6230955,2,3,10.151196,83.78167,154.60262,111.54641,85.225708,94.451416,98.620926,115.24402,140.51855,170.37691,196.23526,195.91594,183.22571
43,216,-614,59346.4547,4063397.43676,61.688114,117.12109,10.616013,54.717304,80.121094,79.505081,63.202587,41.101292,10.918509,3,1,1,6,99.817215,148.69751,127.02944,108.59621,108.08149,108.6777,120.13073,131.02943,144.59621,148.56677,152.56677,160.21222
44,241,-672,84346.4547,4005397.43676,203.47667,109.39762,24.169697,81.058228,97.686653,92.010307,92.839523,44.871708,9.5491409,2.5401852,1,1.0089558,7.0803704,98.505562,150.56123,122.39154,102.96538,104.80354,106.18191,117.16617,131.94069,148.7578,158.24329,162.17078,165.20866
