波长（nm）,R_湿裸土,R_灌木,R_水泥砖,R_枯叶,R_草地,R_水体(90),R_水体(45)
430,0.043245356,0.023612762,0.12312205,0.104075619,0.028354361,0.070784911,0.202643581
431,0.04247888,0.022499129,0.118541931,0.100256953,0.026624213,0.067699205,0.195134224
432,0.042142474,0.021673784,0.115834245,0.098271204,0.025690292,0.065644069,0.190309466
433,0.041760563,0.021048861,0.114201409,0.097418495,0.02544382,0.064220714,0.186762661
434,0.041312385,0.020885428,0.114613355,0.097931523,0.025095784,0.063720587,0.185924114
435,0.041491675,0.021577177,0.116687365,0.099755856,0.025450637,0.064723872,0.188533935
436,0.041950053,0.022447437,0.11903374,0.1017556,0.026017762,0.06611988,0.191974193
437,0.042537016,0.022547445,0.120153768,0.102670266,0.026229066,0.066610912,0.193395079
438,0.043141027,0.022445155,0.120675488,0.103337978,0.026439094,0.066748421,0.193635691
439,0.043350462,0.022399305,0.120554431,0.103493855,0.026625932,0.06656436,0.19296395
440,0.043049032,0.022645795,0.120099069,0.103297518,0.026892453,0.066259632,0.192053973
441,0.042957251,0.022280255,0.118862077,0.102121573,0.026284516,0.065224949,0.189316039
442,0.043014621,0.022182409,0.118752394,0.102171789,0.025981395,0.064849506,0.188653334
443,0.043221186,0.022383903,0.119697621,0.103377516,0.026045023,0.065183909,0.189955829
444,0.044749704,0.022813871,0.121518668,0.104750231,0.026554787,0.066902169,0.19203621
445,0.045388828,0.023230389,0.122264171,0.105499242,0.02700056,0.067444956,0.193442058
446,0.045216551,0.023417792,0.122192216,0.105587081,0.027209414,0.067141046,0.193694552
447,0.043725289,0.022682706,0.121009993,0.104236138,0.026568009,0.065969598,0.19044919
448,0.043154056,0.022467667,0.120405451,0.103661934,0.026233453,0.065235889,0.188784346
449,0.043278602,0.022657362,0.120430408,0.103761944,0.026350254,0.065110312,0.188685127
450,0.044225501,0.023334487,0.121385358,0.104748499,0.027159904,0.065915008,0.190799999
451,0.044733484,0.023461385,0.122823477,0.106253469,0.027335577,0.066341191,0.192338806
452,0.045257575,0.023743184,0.124172577,0.107618817,0.027732065,0.066994061,0.194170173
453,0.045830736,0.024228449,0.125361202,0.108773891,0.028404383,0.067897939,0.196323571
454,0.04586065,0.024121809,0.125345053,0.109056848,0.028340053,0.068010076,0.195829262
455,0.045456913,0.024016888,0.124590661,0.10843021,0.028160499,0.067572839,0.194324884
456,0.045068005,0.024064332,0.124074603,0.107987042,0.028065317,0.067181082,0.193259203
457,0.045156741,0.024374794,0.124545676,0.108946379,0.028182923,0.067409877,0.193596672
458,0.04525985,0.024311724,0.125134444,0.109381476,0.028270911,0.067446187,0.194193193
459,0.045424088,0.024279033,0.125539314,0.109763575,0.02844779,0.067586984,0.194518618
460,0.045785196,0.024593759,0.125728739,0.110579209,0.028883538,0.06818912,0.19443372
461,0.045785406,0.024478425,0.125454121,0.110705192,0.028426104,0.067595895,0.193389465
462,0.045962554,0.024322886,0.125680676,0.111092642,0.028089178,0.06733215,0.193200231
463,0.046339019,0.024166179,0.126461963,0.111790406,0.027992653,0.067533479,0.193948789
464,0.045904726,0.024074819,0.126571338,0.112127626,0.027920131,0.067116593,0.193406004
