1167,-1,0,113.324,22.9946,0,0
0,-1,0,113.324,22.9946,0,0
0,1,54.5728,113.61,22.6148,113.61,22.6151
1,1,51.8558,113.61,22.6152,113.609,22.6149
2,1,12.9654,113.61,22.6152,113.61,22.6151
3,1,19.3602,113.61,22.6151,113.61,22.6153
4,1,19.3566,113.61,22.6153,113.61,22.6152
5,1,12.8513,113.61,22.6153,113.61,22.6153
6,1,1820.85,113.61,22.6153,113.623,22.6263
7,1,1823.76,113.623,22.6264,113.61,22.6153
8,0,14.2889,113.623,22.6263,113.623,22.6264
9,0,467.145,113.623,22.6264,113.62,22.6296
10,0,9.91609,113.62,22.6296,113.62,22.6296
11,1,550.253,113.684,22.632,113.678,22.6309
12,1,616.061,113.678,22.6308,113.684,22.632
13,1,221.714,113.684,22.632,113.685,22.63
14,1,6.39568,113.684,22.632,113.684,22.632
15,1,58.6896,113.684,22.6321,113.684,22.632
16,1,90.698,113.683,22.6328,113.684,22.632
17,1,92.7495,113.684,22.632,113.683,22.6328
18,0,541.772,113.62,22.6296,113.624,22.6329
19,1,223.72,113.624,22.6329,113.626,22.6324
20,0,15.9056,113.624,22.6329,113.624,22.633
21,1,214.726,113.626,22.6325,113.624,22.633
22,1,1172.99,113.626,22.6324,113.637,22.6332
23,1,1164.8,113.637,22.6334,113.626,22.6325
24,1,275.211,113.684,22.6345,113.684,22.6321
25,1,731.063,113.684,22.6298,113.683,22.6359
26,1,2481.8,113.637,22.6332,113.661,22.6382
27,1,2482.15,113.661,22.6383,113.637,22.6334
28,0,1744.51,113.624,22.633,113.639,22.6394
29,1,1046.88,113.661,22.6382,113.67,22.6411
30,1,19.1057,113.67,22.6411,113.671,22.6412
31,1,3133.39,113.67,22.6411,113.671,22.6412
32,1,1043.03,113.67,22.6413,113.661,22.6383
33,1,17.565,113.67,22.6413,113.67,22.6411
34,1,21.4454,113.671,22.6414,113.67,22.6413
35,1,18.3988,113.671,22.6412,113.671,22.6414
36,0,6850.87,113.587,22.6012,113.544,22.6484
37,1,3773.41,113.593,22.6504,113.624,22.6329
38,1,3772.37,113.624,22.633,113.593,22.6505
39,1,1394.96,113.671,22.6414,113.666,22.6532
40,1,1408.91,113.666,22.6533,113.67,22.6413
