FID,oneway,length(m),beginX,beginY,endX,endY
116,0,1776.515612,113.5465794,22.6990191,113.5339288,22.7099347
117,0,1074.332258,113.5123633,22.7117514,113.5050534,22.7048212
118,0,97.22013048,113.5130314,22.71237259,113.5123633,22.7117514
119,1,142.0859898,113.5130314,22.71237259,113.5142267,22.7118044
120,0,7.621091908,113.5130838,22.71242128,113.5130314,22.71237259
121,1,140.7761807,113.514262,22.7118789,113.5130838,22.71242128
122,0,3.289639641,113.5131064,22.7124423,113.5130838,22.71242128
123,1,27.81230155,113.5128477,22.7125569,113.5130314,22.71237259
124,1,27.65497641,113.5130838,22.71242128,113.5128965,22.7126005
125,1,268.1427587,113.5131064,22.7124423,113.514262,22.7118789
126,1,2345.131335,113.5154702,22.7133567,113.5336333,22.7005464
127,1,230.1453635,113.5119081,22.7136075,113.5123633,22.7117514
128,1,152.1977615,113.5119081,22.7136075,113.5128477,22.7125569
129,1,233.1119583,113.5142267,22.7118044,113.5149186,22.71367054
130,1,66.50346391,113.5149186,22.71367054,113.5154702,22.7133567
131,1,145.8817131,113.5128965,22.7126005,113.5120845,22.7136772
132,1,6.993175913,113.5149186,22.71367054,113.5149488,22.71372713
133,1,67.4996259,113.5149488,22.71372713,113.5154702,22.7133567
134,1,317.0695578,113.5145685,22.7138103,113.5120845,22.7136772
135,0,213.4311836,113.5145685,22.7138103,113.5131064,22.7124423
136,1,14.92701451,113.5149488,22.71372713,113.5150131,22.71384791
137,1,2415.191223,113.5337083,22.7006419,113.5150131,22.71384791
138,0,7.849204658,113.5146221,22.71386074,113.5145685,22.7138103
139,1,37.07916706,113.5146221,22.71386074,113.5149186,22.71367054
140,0,8.728746072,113.5146818,22.71391684,113.5146221,22.71386074
141,1,34.56807093,113.5146818,22.71391684,113.5149488,22.71372713
142,0,14.70379533,113.5147822,22.71401133,113.5146818,22.71391684
143,1,29.85104442,113.5150131,22.71384791,113.5147822,22.71401133
144,1,52.57167828,113.5120845,22.7136772,113.511829,22.7140859
145,1,91.63937734,113.5115771,22.7143604,113.5119081,22.7136075
146,1,75.98668304,113.5147822,22.71401133,113.5141944,22.7144273
147,0,97.57806942,113.5154489,22.7146384,113.5147822,22.71401133
148,1,98.43085039,113.5150131,22.71384791,113.5154489,22.7146384
149,1,163.5177985,113.511829,22.7140859,113.5125492,22.7151054
150,1,255.5802324,113.5125492,22.7151054,113.5146221,22.71386074
151,1,191.2244988,113.511829,22.7140859,113.5122149,22.71566562
152,1,319.0938466,113.5122149,22.71566562,113.5146818,22.71391684
153,1,207.8032913,113.5141944,22.7144273,113.5127373,22.7157261
154,1,14.79050334,113.5122149,22.71566562,113.5122638,22.71579009
155,1,249.3354437,113.5141944,22.7144273,113.5122638,22.71579009
156,1,200.7042908,113.5113304,22.7160913,113.5115771,22.7143604
157,1,217.3778715,113.5111692,22.71624907,113.5115771,22.7143604
158,1,24.14383175,113.5111692,22.71624907,113.5113304,22.7160913
159,1,57.84613981,113.5122638,22.71579009,113.5121201,22.7162722
160,1,13.97226514,113.5112246,22.71636269,113.5111692,22.71624907
161,1,127.7681667,113.5112246,22.71636269,113.5122149,22.71566562
162,1,13.95196628,113.5113108,22.71645964,113.5112246,22.71636269
163,1,122.8688597,113.5122638,22.71579009,113.5113108,22.71645964
164,1,28.04850258,113.5115386,22.71658892,113.5113108,22.71645964
165,1,69.43522625,113.5121201,22.7162722,113.5115386,22.71658892
166,1,169.9615291,113.5127373,22.7157261,113.5115386,22.71658892
167,1,244.7366441,113.5093543,22.7176791,113.5111692,22.71624907
168,1,241.2853353,113.5093543,22.7176791,113.5112246,22.71636269
169,1,265.3530134,113.5113108,22.71645964,113.5092563,22.7179102
170,1,276.7600021,113.5115386,22.71658892,113.5092563,22.7179102
171,1,217.8152451,113.5076659,22.7188674,113.5093543,22.7176791
172,1,190.8968788,113.5092563,22.7179102,113.5077812,22.7189573
173,0,850.4488383,113.5212739,22.7200903,113.5154489,22.7146384
174,0,39.3728392,113.5215163,22.7203655,113.5212739,22.7200903
175,1,346.713242,113.4664641,22.7180018,113.4676212,22.7209394
176,1,344.6749846,113.4674975,22.7209859,113.4663895,22.71805056
177,0,196.4388613,113.5228174,22.7216496,113.5215163,22.7203655
178,0,1740.491674,113.5339288,22.7099347,113.5228174,22.7216496
179,1,11757.60825,113.5845369,22.7221248,113.6657661,22.6532631
180,1,11711.83667,113.6656661,22.6535498,113.5848014,22.722217
181,1,790.6120205,113.4693939,22.7278935,113.4674975,22.7209859
182,1,798.5469772,113.4676212,22.7209394,113.469568,22.727912
183,0,3476.467519,113.5339288,22.7099347,113.5571497,22.7291507
184,0,1232.741223,113.5305266,22.730173,113.5228174,22.7216496
185,1,319.5966202,113.469568,22.727912,113.4699922,22.7307699
186,1,325.1518243,113.4698825,22.7307933,113.4693939,22.7278935
187,1,1959.508174,113.4951614,22.7320291,113.5076659,22.7188674
188,1,1956.389214,113.5077812,22.7189573,113.4952888,22.7320919
189,0,3229.601293,113.4992208,22.7092255,113.4942085,22.73341234
190,1,181.881206,113.4942085,22.73341234,113.4951614,22.7320291
191,0,13.31208085,113.4942085,22.73341234,113.4943021,22.73349544
192,1,185.6423434,113.4952888,22.7320919,113.4943021,22.73349544
193,0,2481.212091,113.5228174,22.7216496,113.5049206,22.7366524
194,0,1518.057868,113.4943021,22.73349544,113.5049206,22.7366524
195,1,2440.827121,113.5829051,22.7439797,113.5845369,22.7221248
196,1,1613.708855,113.4699922,22.7307699,113.4756268,22.7440067
197,1,2436.378481,113.5848014,22.722217,113.5831813,22.7440333
198,1,1714.34253,113.4762248,22.7446745,113.4698825,22.7307933
199,1,1616.97483,113.4943021,22.73349544,113.4857006,22.7457096
200,1,340.9280001,113.4756268,22.7440067,113.4782808,22.7458535
201,1,1661.37375,113.4853353,22.7459396,113.4942085,22.73341234
202,1,429.627075,113.4822034,22.7484801,113.4853353,22.7459396
203,1,835.8448176,113.4756268,22.7440067,113.481757,22.74895646
204,1,508.9697771,113.4782808,22.7458535,113.481757,22.74895646
205,1,25.5496893,113.481757,22.74895646,113.4819342,22.7491179
206,1,76.37542475,113.4819342,22.7491179,113.4822034,22.7484801
207,1,756.8787608,113.4817652,22.74916587,113.4762248,22.7446745
208,1,23.36764769,113.481757,22.74895646,113.4817652,22.74916587
209,1,19.21126185,113.4818972,22.7492887,113.4817652,22.74916587
210,1,19.29989053,113.4818972,22.7492887,113.4819342,22.7491179
211,1,29.76167044,113.4819342,22.7491179,113.4821238,22.74932105
212,1,499.8380111,113.4821238,22.74932105,113.4853353,22.7459396
213,1,18.90206041,113.4820271,22.74940955,113.4818972,22.7492887
214,1,13.95751364,113.4820271,22.74940955,113.4821238,22.74932105
215,1,13.98490199,113.4821238,22.74932105,113.4822128,22.74941651
216,1,545.5691499,113.4857006,22.7457096,113.4822128,22.74941651
217,1,13.97728404,113.4821231,22.74949891,113.4820271,22.74940955
218,1,12.9735125,113.4822128,22.74941651,113.4821231,22.74949891
219,1,24.8409162,113.4819205,22.74950711,113.4818972,22.7492887
220,1,15.3881005,113.4819205,22.74950711,113.4820271,22.74940955
221,1,16.3173349,113.4819584,22.74965013,113.4819205,22.74950711
222,1,23.80943435,113.4821231,22.74949891,113.4819584,22.74965013
223,1,63.37718653,113.4817652,22.74916587,113.4816644,22.74972875
224,1,35.994074,113.4816644,22.74972875,113.4819205,22.74950711
225,1,28.63290301,113.4816644,22.74972875,113.4815857,22.74997649
226,1,52.68536277,113.4819584,22.74965013,113.4815857,22.74997649
227,1,53.26756033,113.4821283,22.7501028,113.4819584,22.74965013
228,1,775.8814937,113.5812884,22.7508203,113.5829051,22.7439797
229,1,21.04236211,113.5812884,22.7508203,113.581493,22.7508282
230,1,772.5555492,113.5831813,22.7440333,113.581493,22.7508282
231,1,2866.612205,113.581493,22.7508282,113.6093894,22.7507592
232,1,20.07309346,113.581493,22.7508282,113.5814822,22.7510091
233,1,2867.776573,113.60939,22.7509524,113.5814822,22.7510091
234,1,22.66497043,113.5812468,22.7510212,113.5812884,22.7508203
235,1,24.22622561,113.5814822,22.7510091,113.5812468,22.7510212
236,1,1143.726295,113.4783879,22.7524116,113.4762248,22.7446745
237,1,449.1213444,113.4783879,22.7524116,113.4816644,22.74972875
238,1,645.38536,113.4815857,22.74997649,113.4768575,22.7538111
239,1,650.8056508,113.4815857,22.74997649,113.4768575,22.7538111
240,1,679.2534536,113.4822128,22.74941651,113.4858225,22.7545187
241,1,1120.278302,113.4857006,22.7457096,113.4858225,22.7545187
242,0,2297.770535,113.4294744,22.7519439,113.451035,22.7546474
243,1,639.1789456,113.4857214,22.754771,113.4821283,22.7501028
244,1,696.3098,113.4857214,22.754771,113.4821231,22.74949891
245,0,816.2129335,113.4294744,22.7519439,113.4303562,22.7592651
246,0,77.49294067,113.4303562,22.7592651,113.4311051,22.7592088
247,1,371.5149025,113.4311051,22.7592088,113.4347194,22.7592911
248,1,106.2812379,113.4347194,22.7592911,113.4357536,22.7593122
249,0,49.16967374,113.429889,22.7593613,113.4303562,22.7592651
250,1,103.1403384,113.4357325,22.7594645,113.4347288,22.7594822
251,0,29.03798402,113.4303562,22.7592651,113.4303702,22.7595269
252,1,447.6566847,113.4303702,22.7595269,113.4347194,22.7592911
253,0,16.35479084,113.4303702,22.7595269,113.430378,22.75967435
254,1,447.8226002,113.4347288,22.7594822,113.430378,22.75967435
255,1,1245.062587,113.4692157,22.7597561,113.4783879,22.7524116
256,1,519.9532851,113.3997658,22.7596887,113.4048029,22.75978469
257,0,2725.088427,113.4048029,22.75978469,113.4294744,22.7519439
258,1,372.5471036,113.4347288,22.7594822,113.4311221,22.7598274
259,1,321.9369106,113.4268005,22.7598391,113.429889,22.7593613
260,1,368.4280923,113.4268005,22.7598391,113.4303702,22.7595269
261,1,499.2284908,113.4046446,22.75988546,113.3998061,22.7598158
262,0,19.7320983,113.4046446,22.75988546,113.4048029,22.75978469
263,0,24.10770862,113.430378,22.75967435,113.4303896,22.7598917
264,0,75.66499934,113.4311221,22.7598274,113.4303896,22.7598917
265,0,51.13313511,113.4303896,22.7598917,113.4298932,22.7599249
266,1,141.4206231,113.4254332,22.7599863,113.4268005,22.7598391
267,1,372.0151723,113.430378,22.75967435,113.4267764,22.7600202
268,1,320.4577304,113.4298932,22.7599249,113.4267764,22.7600202
269,1,195.6215574,113.3979022,22.7600436,113.3997658,22.7596887
270,1,138.2197157,113.4267764,22.7600202,113.425437,22.7601372
271,1,195.6155875,113.3998061,22.7598158,113.3979443,22.760179
272,1,483.1221055,113.4207563,22.7604391,113.4254332,22.7599863
273,1,479.5968831,113.425437,22.7601372,113.4207949,22.7605921
274,1,199.3862342,113.4188255,22.7606206,113.4207563,22.7604391
275,0,90.52321442,113.4303896,22.7598917,113.4303975,22.7607088
276,1,194.3469723,113.4207949,22.7605921,113.4189116,22.7607567
277,1,1459.157366,113.4048029,22.75978469,113.4188255,22.7606206
278,1,1484.923755,113.4189116,22.7607567,113.4046446,22.75988546
279,1,326.8436597,113.4668088,22.7616852,113.4692157,22.7597561
280,0,109.3892679,113.4303975,22.7607088,113.430389,22.7616962
281,1,1348.778646,113.4768575,22.7538111,113.4669266,22.7617733
282,1,19.23070127,113.4669266,22.7617733,113.4667847,22.7618865
283,1,930.0662455,113.4879187,22.7628945,113.4857214,22.754771
284,1,960.4918825,113.4858225,22.7545187,113.4881409,22.7629017
285,0,158.2344521,113.430389,22.7616962,113.4303551,22.7631242
286,1,2201.382786,113.4566434,22.7634161,113.4357325,22.7594645
287,1,780.886486,113.4630567,22.76381751,113.4692157,22.7597561
288,1,2414.123239,113.4357536,22.7593122,113.4586319,22.7638595
289,1,218.0628572,113.458647,22.7640656,113.4566434,22.7634161
290,1,158.2225044,113.4630567,22.76381751,113.4618195,22.76407706
291,1,130.525314,113.4618195,22.76407706,113.4630567,22.76381751
292,1,272.3812712,113.4591837,22.7641197,113.4566434,22.7634161
293,1,330.7726719,113.4586319,22.7638595,113.4618195,22.76407706
294,1,510.210324,113.4630465,22.7646912,113.4668088,22.7616852
295,1,493.1677027,113.4667847,22.7618865,113.4631452,22.764789
296,1,252.843341,113.4586319,22.7638595,113.4607812,22.76493055
297,1,144.0973707,113.4618195,22.76407706,113.4607812,22.76493055
298,1,180.2541899,113.460661,22.76498123,113.4591837,22.7641197
299,1,13.5628083,113.4607812,22.76493055,113.460661,22.76498123
300,1,241.624985,113.460661,22.76498123,113.458647,22.7640656
301,1,125.9157003,113.4607812,22.76493055,113.4617044,22.76567426
302,1,266.8118071,113.4617044,22.76567426,113.4630567,22.76381751
303,1,155.0216366,113.4631452,22.764789,113.4620049,22.7657054
304,1,152.9390891,113.4631734,22.7648501,113.4620049,22.7657054
305,1,8.18166012,113.4617044,22.76567426,113.4617718,22.76571371
306,1,173.1579762,113.4617718,22.76571371,113.4630465,22.7646912
307,1,15.65783159,113.4617718,22.76571371,113.4619006,22.76578922
308,1,14.17884105,113.4620049,22.7657054,113.4619006,22.76578922
309,1,131.6041326,113.4614946,22.76587562,113.460661,22.76498123
310,1,31.02544331,113.4614946,22.76587562,113.4617044,22.76567426
311,1,5.093427993,113.4615308,22.76590698,113.4614946,22.76587562
312,1,32.7289902,113.4615308,22.76590698,113.4617718,22.76571371
313,1,439.0616206,113.4619006,22.76578922,113.4631734,22.7648501
314,1,15.10467796,113.4616383,22.76599997,113.4615308,22.76590698
315,1,35.65299312,113.4619006,22.76578922,113.4616383,22.76599997
316,1,56.80486113,113.4611103,22.7662443,113.4614946,22.76587562
317,1,57.12329268,113.4611103,22.7662443,113.4615308,22.76590698
318,1,787.3854755,113.4667847,22.7618865,113.4616383,22.76599997
319,1,599.120254,113.4881409,22.7629017,113.489722,22.7681
320,0,1031.118623,113.5537378,22.76834796,113.5542156,22.759166
321,1,2317.586535,113.5537378,22.76834796,113.5755588,22.7674032
322,0,12.98651684,113.5536932,22.76845764,113.5537378,22.76834796
323,1,2315.420799,113.5755035,22.7675034,113.5536932,22.76845764
324,1,559.5189739,113.4569912,22.7695483,113.4611103,22.7662443
325,1,778.6475013,113.4901422,22.7695989,113.4879187,22.7628945
326,1,622.6844295,113.4616383,22.76599997,113.4570579,22.7696809
327,0,4226.92657,113.5049206,22.7366524,113.4947054,22.7710254
328,1,859.8329318,113.5755588,22.7674032,113.5827104,22.77133
329,0,358.0525016,113.5841924,22.7684064,113.5827104,22.77133
330,1,860.2357346,113.5826219,22.77152911,113.5755035,22.7675034
331,0,23.86054776,113.5827104,22.77133,113.5826219,22.77152911
332,1,410.5591171,113.489722,22.7681,113.4911905,22.7715404
333,1,9.892147051,113.4911905,22.7715404,113.4912301,22.77162177
334,1,397.1977097,113.4912301,22.77162177,113.4911905,22.7715404
335,1,249.2241726,113.4910434,22.77168551,113.4901422,22.7695989
336,1,20.43903191,113.4910434,22.77168551,113.4912301,22.77162177
337,1,10.73965423,113.4912301,22.77162177,113.4912732,22.77171012
338,1,577.5770504,113.489722,22.7681,113.4912732,22.77171012
339,1,9.809252285,113.4910843,22.77176552,113.4910434,22.77168551
340,1,20.34861416,113.4912732,22.77171012,113.4910843,22.77176552
341,1,332.6758147,113.489752,22.772325,113.4901422,22.7695989
342,1,151.4735654,113.489752,22.772325,113.4910434,22.77168551
343,1,252.0036377,113.4910843,22.77176552,113.489287,22.77317
344,1,216.4888033,113.4911155,22.7730117,113.489287,22.77317
345,1,142.6650638,113.489008,22.773385,113.489752,22.772325
346,1,27.98720947,113.489287,22.77317,113.489213,22.773413
347,1,243.537701,113.4912732,22.77171012,113.4922621,22.77370779
348,1,404.592115,113.4922621,22.77370779,113.4947054,22.7710254
349,1,246.5814624,113.4921186,22.773774,113.4910843,22.77176552
350,1,16.47422528,113.4921186,22.773774,113.4922621,22.77370779
351,1,8.972047172,113.4922621,22.77370779,113.4923002,22.77378068
352,1,413.1718021,113.4947054,22.7710254,113.4923002,22.77378068
353,1,130.9686694,113.4920078,22.77382506,113.4911155,22.7730117
354,1,12.7057671,113.4920078,22.77382506,113.4921186,22.773774
355,1,8.929395963,113.4921568,22.77384638,113.4921186,22.773774
356,1,16.43241407,113.4923002,22.77378068,113.4921568,22.77384638
357,1,52.98438264,113.488928,22.773855,113.489008,22.773385
358,1,8.938198584,113.4920537,22.77389362,113.4920078,22.77382506
359,1,11.81550729,113.4921568,22.77384638,113.4920537,22.77389362
360,1,56.69235625,113.489213,22.773413,113.4890442,22.7739002
361,1,2658.589129,113.377341,22.7741589,113.3979022,22.7600436
362,1,2648.389037,113.3979443,22.760179,113.37746,22.7742341
363,1,115.8422828,113.49099,22.7742749,113.4920078,22.77382506
364,1,511.8536174,113.5827104,22.77133,113.586254,22.7745754
365,1,258.1301116,113.4890442,22.7739002,113.49099,22.7742749
366,1,500.5702437,113.5861326,22.7746537,113.5826219,22.77152911
367,1,118.6486229,113.4926625,22.7748037,113.4920537,22.77389362
368,1,118.0986922,113.4926625,22.7748037,113.4921568,22.77384638
369,1,102.5565416,113.4890442,22.7739002,113.4890702,22.7748094
370,1,239.2259859,113.4920537,22.77389362,113.4899575,22.7748339
371,1,109.786387,113.4890096,22.7748394,113.488928,22.773855
372,1,37.85253271,113.4890702,22.7748094,113.4891723,22.77513769
373,1,209.7784989,113.4891723,22.77513769,113.49099,22.7742749
374,1,37.65494933,113.4891148,22.77516499,113.4890096,22.7748394
375,1,6.637321684,113.4891148,22.77516499,113.4891723,22.77513769
376,1,9.168927597,113.4891723,22.77513769,113.4891971,22.77521721
377,1,88.91784674,113.4899575,22.7748339,113.4891971,22.77521721
378,1,9.31667731,113.4891408,22.77524554,113.4891148,22.77516499
379,1,6.573248086,113.4891971,22.77521721,113.4891408,22.77524554
380,1,8.786862851,113.4891971,22.77521721,113.4892208,22.77529341
381,1,91.21457952,113.4899575,22.7748339,113.4892208,22.77529341
382,1,9.405770635,113.4891671,22.77532687,113.4891408,22.77524554
383,1,6.641269772,113.4892208,22.77529341,113.4891671,22.77532687
384,1,83.07460782,113.4892208,22.77529341,113.4894449,22.7760139
385,1,81.83960517,113.4893958,22.7760345,113.4891671,22.77532687
386,1,318.1999819,113.4923002,22.77378068,113.4937583,22.7763131
387,1,205.5973861,113.493632,22.7764272,113.4926625,22.7748037
388,1,343.8989918,113.4891671,22.77532687,113.4893958,22.7760345
389,1,516.6397429,113.485358,22.776928,113.488928,22.773855
390,1,432.5552573,113.485358,22.776928,113.4891148,22.77516499
391,1,432.8439197,113.4891408,22.77524554,113.4853703,22.7769877
392,1,507.1183994,113.4894449,22.7760139,113.4853703,22.7769877
393,1,1398.014315,113.446931,22.7780231,113.4569912,22.7695483
394,1,1390.503229,113.4570579,22.7696809,113.4470422,22.778098
395,1,513.4851396,113.37746,22.7742341,113.3755348,22.77849251
396,0,3635.170824,113.3755348,22.77849251,113.4046446,22.75988546
397,1,528.3221039,113.3754252,22.77856467,113.377341,22.7741589
398,0,13.80387003,113.3754252,22.77856467,113.3755348,22.77849251
399,1,618.9305629,113.586254,22.7745754,113.5904636,22.77857161
400,1,621.2861517,113.5903605,22.77866305,113.5861326,22.7746537
401,0,14.65503905,113.5903605,22.77866305,113.5904636,22.77857161
402,1,718.6773372,113.4788007,22.7791295,113.485358,22.776928
403,0,12.3706449,113.4788007,22.7791295,113.4788564,22.7792285
404,1,716.7923182,113.4853703,22.7769877,113.4788564,22.7792285
405,0,1149.62839,113.5826219,22.77152911,113.5871321,22.7792485
406,0,522.9091532,113.5904636,22.77857161,113.5950285,22.7794464
407,1,6456.467179,113.5294618,22.7794577,113.5812884,22.7508203
408,0,21.44944894,113.5295942,22.7796074,113.5294618,22.7794577
409,1,6437.330329,113.5812468,22.7510212,113.5295942,22.7796074
410,0,575.4722442,113.5852224,22.779387,113.5903605,22.77866305
411,1,592.6386712,113.4937583,22.7763131,113.496714,22.780907
412,1,601.5384852,113.4966481,22.7810812,113.493632,22.7764272
413,1,457.6290565,113.5904636,22.77857161,113.5935761,22.78152639
