G27,-11992930.821,23465280.2963,-1918858.8136
G26,-11113293.5456,10954846.167,21469881.545
G22,7858104.93808,23797944.4492,-8542887.13909
G23,5733457.64967,17820761.8452,18957390.4715
G16,-8344959.63705,12428432.4214,21763661.9987
G03,12825775.3703,23286481.5599,-657332.794502
G16,-3843863.96746,19164919.3851,17621767.0484
G14,-17988044.2909,18212908.2874,-6442993.54188
G32,-18650817.4975,11179646.4849,-15162086.484
G31,-23074382.3598,7238206.17553,11486372.4875
G29,-11307026.7707,-9490892.87349,22063327.2809
